author_name,count
conda-forge-coordinator,80
root,20
GitHub,18
CI Pool Resource,12
CI Pool Trigger Resource,11
armaneshaghi,11
nobody,11
Android Git Automerger,8
nbd,8
Gerrit Code Review,7
grothoff,7
robocdnjs,7
NetKAN inflator Robot,5
Jared Yanovich,5
Pharm,5
(no author),5
changelog,5
conda-forge-curator[bot],5
xiphmont,4
spectre360,4
ftyers,4
bosh-io-worker,4
Rüdiger Timm,4
thekid,4
hellcatv,3
hieuhoang1972,3
Zhihui Zhang,3
jsdelivrbot,3
Kurt Zenker,3
Jim Regan,3
jonorthwash,3
dustymc,3
bozimmerman,2
Vítor Galvão,2
Steve Deitz,2
Travis CI User,2
Stephan Meißl,2
schoenborn,2
Martin Edenhofer,2
lattner,2
roberto.alsina,2
Sebastian Bazley,2
Darren Hiebert,2
Sue Pan,2
android-build-merger,2
guido.van.rossum,2
Confluent Jenkins Bot,2
kremenek,2
liudidi,2
rwang,2
matthewoliver,2
HonkBot,2
jow,2
runner,2
echristo,2
rickb44,2
florian,2
jrm424,2
drepper,2
Wolfgang Bangerth,2
Travis,2
jht5945@gmail.com,2
Steve Sperandeo,2
JohnLevander,2
tarvo,2
ferg,2
Vladimir Glazounov,2
rjmccall,2
all-cabal-tool,2
Martin Lindhe,2
sixhours,2
benjamin.peterson,2
tkreuzer,2
OpenTree API,2
mlunzena,2
Florian Fainelli,2
sushain97,2
akirtzidis,2
Adrian Otto,2
westi,1
Misiulo,1
Sujai Kumar,1
Componentizr Bot,1
rekall-profiler,1
tenebr050,1
h.bolouri,1
Anders Lindman,1
gdombiak,1
julie-sullivan,1
wormboy.d,1
Philip Homburg,1
Johannes Schindelin,1
Rainer Clasen,1
wenyan,1
compnerd,1
gtg739c,1
hastings,1
Emmanuel Mongin,1
Neil Mitchell,1
pr,1
john.d.levander@gmail.com,1
Dierk König,1
Sebastian Hammer,1
Ibexguy,1
Joey Riches,1
Kris Dudkiewicz,1
Christian Winther,1
Steven Knight,1
Ilya Cohn,1
Jacob Appelbaum,1
Allen Akers,1
Kristof Coomans,1
Beth Kirschner,1
vijaymohanb4u,1
Aaron Read,1
Jim O'Regan,1
Gregory John Casamento,1
mgruner,1
Tom O'Dwyer,1
Ken Weiner,1
Christian Grobmeier,1
small_duck,1
mark.dickinson,1
Nay,1
Kir Dergachev,1
Felipe Alfonso,1
obsy,1
Thomas Kelder,1
blogic,1
fred,1
dalimilh,1
peter,1
jwnmulder,1
dreimer,1
rasmussn,1
decatbr,1
paulscott,1
runarberg,1
E Ciotti,1
Ravith Botejue,1
Jan Hatje,1
Mani Sarkar,1
