language_name,count
"['C', 'Shell']",18
"['Go', 'Shell']",13
"['C', 'Objective-C', 'Ruby', 'Shell']",11
"['C++', 'Shell']",7
"['Go', 'Makefile', 'Shell']",7
"['C', 'C++', 'Shell']",6
"['C', 'Perl', 'Shell']",5
"['C', 'C++', 'Objective-C', 'Shell']",4
"['C', 'C++', 'Makefile', 'Shell']",4
"['ASP', 'Assembly', 'Awk', 'C', 'C++', 'Clojure', 'Groff', 'Lex', 'Makefile', 'Objective-C', 'Perl', 'Python', 'Scilab', 'Shell', 'UnrealScript', 'Yacc']",4
"['C', 'C++', 'Groff', 'Makefile', 'NSIS', 'Objective-C', 'Objective-C++', 'Python', 'QMake', 'Shell']",3
"['C++', 'CMake', 'Shell']",3
"['C#', 'Shell']",3
"['C', 'Makefile', 'Shell']",3
"['ASP', 'Assembly', 'Awk', 'C', 'C++', 'Objective-C', 'Objective-C++', 'Perl', 'Python', 'Scala', 'Scilab', 'Shell', 'TeX', 'UnrealScript', 'VimL', 'XSLT']",3
"['C', 'C++', 'Makefile', 'Python', 'Shell']",3
"['CSS', 'HTML', 'Java', 'Shell']",3
"['C', 'C++', 'Python', 'Shell']",3
"['C', 'M4', 'Makefile', 'Shell']",2
"['C', 'Groff', 'Makefile', 'Shell']",2
"['ASP', 'Batchfile', 'C#', 'CSS', 'HTML', 'JavaScript', 'Pascal', 'Shell']",2
"['C', 'C#', 'C++', 'CMake', 'Java', 'Makefile', 'OCaml', 'Python', 'Ruby', 'Shell', 'Smalltalk', 'Tcl']",2
"['ASP', 'Assembly', 'C', 'C++', 'JavaScript', 'Objective-C', 'Perl', 'Python', 'Scilab', 'Shell', 'VimL']",2
"['ASP', 'Assembly', 'C', 'C++', 'Objective-C', 'Perl', 'Python', 'Scilab', 'Shell', 'SuperCollider', 'VimL']",2
"['C', 'Python', 'Shell']",2
